Bandit,Reward,Algorithm
3,4.822998670104639,EpsilonGreedyBandit
3,5.281790195620547,EpsilonGreedyBandit
3,5.330225427512994,EpsilonGreedyBandit
3,4.766425022898316,EpsilonGreedyBandit
3,2.5681904390708272,EpsilonGreedyBandit
3,3.4461317382778036,EpsilonGreedyBandit
3,4.622070502326482,EpsilonGreedyBandit
3,6.1944930845519135,EpsilonGreedyBandit
3,3.951704429946636,EpsilonGreedyBandit
3,2.7342277825882575,EpsilonGreedyBandit
3,3.3269739247266688,EpsilonGreedyBandit
3,4.7414488063970515,EpsilonGreedyBandit
3,4.705258526480602,EpsilonGreedyBandit
3,4.920633077700591,EpsilonGreedyBandit
3,4.550111320388996,EpsilonGreedyBandit
3,3.729245635241748,EpsilonGreedyBandit
3,3.8662072752145717,EpsilonGreedyBandit
3,5.300397261878999,EpsilonGreedyBandit
3,3.544360165244238,EpsilonGreedyBandit
3,6.0660590468409215,EpsilonGreedyBandit
3,3.316539681956857,EpsilonGreedyBandit
3,4.051304516023382,EpsilonGreedyBandit
3,4.503934485211486,EpsilonGreedyBandit
3,4.92041793652347,EpsilonGreedyBandit
3,3.165385496224274,EpsilonGreedyBandit
3,2.949759414396379,EpsilonGreedyBandit
3,5.398153758702447,EpsilonGreedyBandit
3,5.371158762874058,EpsilonGreedyBandit
3,4.371620714016563,EpsilonGreedyBandit
3,1.5377572960015966,EpsilonGreedyBandit
3,3.695590576497999,EpsilonGreedyBandit
3,2.985138271975189,EpsilonGreedyBandit
3,5.420909271916128,EpsilonGreedyBandit
3,4.536126342053267,EpsilonGreedyBandit
3,4.202800697849695,EpsilonGreedyBandit
3,3.638383543560459,EpsilonGreedyBandit
3,3.4914991518882443,EpsilonGreedyBandit
3,5.203792531642029,EpsilonGreedyBandit
3,4.065601553478877,EpsilonGreedyBandit
3,5.241103837842962,EpsilonGreedyBandit
3,4.381260520307868,EpsilonGreedyBandit
3,2.86770009778907,EpsilonGreedyBandit
3,3.934019580435356,EpsilonGreedyBandit
3,2.8569719174654193,EpsilonGreedyBandit
3,4.566694064592303,EpsilonGreedyBandit
3,4.5059613538696395,EpsilonGreedyBandit
3,3.9718797342692245,EpsilonGreedyBandit
3,4.4539690993910765,EpsilonGreedyBandit
3,4.998545458450901,EpsilonGreedyBandit
3,6.162652426946114,EpsilonGreedyBandit
3,4.738381978981116,EpsilonGreedyBandit
3,3.238920649537519,EpsilonGreedyBandit
3,3.4012809508476494,EpsilonGreedyBandit
3,4.160635377226381,EpsilonGreedyBandit
3,2.7307670558906203,EpsilonGreedyBandit
3,4.517070666577931,EpsilonGreedyBandit
3,3.4948020094093932,EpsilonGreedyBandit
3,4.789764022853777,EpsilonGreedyBandit
3,2.29027285336157,EpsilonGreedyBandit
3,4.055334579173221,EpsilonGreedyBandit
3,4.589423490242235,EpsilonGreedyBandit
3,3.643029429256629,EpsilonGreedyBandit
3,4.680479583709115,EpsilonGreedyBandit
3,3.7741708501282276,EpsilonGreedyBandit
3,4.439451144016037,EpsilonGreedyBandit
3,2.731143310764672,EpsilonGreedyBandit
3,4.130114050189545,EpsilonGreedyBandit
3,4.798461175020998,EpsilonGreedyBandit
3,4.907539914542298,EpsilonGreedyBandit
3,3.444467221818189,EpsilonGreedyBandit
3,3.942741288661253,EpsilonGreedyBandit
3,2.7250478588505924,EpsilonGreedyBandit
3,4.41695134366396,EpsilonGreedyBandit
3,3.8062197231550443,EpsilonGreedyBandit
3,4.782951574517044,EpsilonGreedyBandit
3,5.0161242639603,EpsilonGreedyBandit
3,3.551787709808418,EpsilonGreedyBandit
3,3.6616939686414196,EpsilonGreedyBandit
3,4.105081571407537,EpsilonGreedyBandit
3,3.11004087263392,EpsilonGreedyBandit
3,4.510094137084712,EpsilonGreedyBandit
3,6.250937985284633,EpsilonGreedyBandit
3,3.056637163989866,EpsilonGreedyBandit
3,2.2458817630382533,EpsilonGreedyBandit
3,4.724766172730297,EpsilonGreedyBandit
3,5.1960745985468995,EpsilonGreedyBandit
3,3.1511288045366146,EpsilonGreedyBandit
3,4.412224949390167,EpsilonGreedyBandit
3,3.609118590092219,EpsilonGreedyBandit
3,5.47710791638154,EpsilonGreedyBandit
3,2.3819462789664776,EpsilonGreedyBandit
3,4.1516233371092355,EpsilonGreedyBandit
3,2.854434537932798,EpsilonGreedyBandit
3,2.7475141107866605,EpsilonGreedyBandit
3,3.859047149847283,EpsilonGreedyBandit
3,3.9007386888323317,EpsilonGreedyBandit
3,3.933651739367228,EpsilonGreedyBandit
3,2.6536833875608026,EpsilonGreedyBandit
3,3.744728233001741,EpsilonGreedyBandit
3,5.129339782241271,EpsilonGreedyBandit
3,5.011351851673324,EpsilonGreedyBandit
3,3.8131769515743104,EpsilonGreedyBandit
3,3.5824390347420136,EpsilonGreedyBandit
3,4.6819174058063835,EpsilonGreedyBandit
3,3.678241618134039,EpsilonGreedyBandit
3,4.751903913529648,EpsilonGreedyBandit
3,1.3136116997120575,EpsilonGreedyBandit
3,5.394124636461278,EpsilonGreedyBandit
3,3.685585409333372,EpsilonGreedyBandit
3,3.1332453482200577,EpsilonGreedyBandit
3,3.7013166280023775,EpsilonGreedyBandit
3,4.831967215681232,EpsilonGreedyBandit
3,3.876119828787015,EpsilonGreedyBandit
3,2.5773772949102094,EpsilonGreedyBandit
3,3.304724535507997,EpsilonGreedyBandit
3,4.4220867370726,EpsilonGreedyBandit
3,3.9263631474099348,EpsilonGreedyBandit
3,4.180072414024231,EpsilonGreedyBandit
3,4.607639357613495,EpsilonGreedyBandit
3,3.7196653558500437,EpsilonGreedyBandit
3,5.296552941662518,EpsilonGreedyBandit
3,3.808715599067521,EpsilonGreedyBandit
3,3.484458349331561,EpsilonGreedyBandit
3,4.0239170167245195,EpsilonGreedyBandit
3,2.9251082026924644,EpsilonGreedyBandit
3,2.793535020401933,EpsilonGreedyBandit
3,2.233560105354467,EpsilonGreedyBandit
3,4.008802859190823,EpsilonGreedyBandit
3,3.393208051413235,EpsilonGreedyBandit
3,4.847090788479593,EpsilonGreedyBandit
3,3.389069890052205,EpsilonGreedyBandit
3,2.9273360247718445,EpsilonGreedyBandit
3,3.967746003585089,EpsilonGreedyBandit
3,4.105788888193689,EpsilonGreedyBandit
